adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/cOkgL3jfyHtU5Lfuo4pelYNgfO6.jpg,"[28, 35, 10751, 878]",926670,en,Henry Danger: The Movie,"Henry Hart meets a superfan—eager to fight crime with Kid Danger—who comes into possession of a device that can open up alternate realities. Facing a wild ride, Henry will need his best friend Jasper and his new superfan sidekick to find his way out or be stuck in another dimension forever.",10.9784,/dFWj2rOGsqSIX1PHFghbCBgpMnk.jpg,2025-01-17,Henry Danger: The Movie,False,7.713,244
False,/aQ2ZbNqIaecoQsryNe33UmDtms.jpg,"[12, 10751, 14, 35, 10749]",2493,en,The Princess Bride,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",10.9702,/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg,1987-09-25,The Princess Bride,False,7.7,4880
False,/A3fWOEryWNdCfIkzl177ZJQoXr2.jpg,[27],183412,en,Dead Souls,"On his 18th birthday, Johnny finds out that he's come into an inheritance - and his family were a lot stranger than he ever knew...",10.9693,/4HHl7IrFNDxFU4MEAHHfjKbfbbJ.jpg,2012-10-11,Dead Souls,False,4.7,60
False,/aQLygZOIKai6aaiBAeeKpIWO5nc.jpg,"[35, 18, 53]",466272,en,Once Upon a Time... in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",10.9679,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,2019-07-24,Once Upon a Time... in Hollywood,False,7.426,14305
False,/gJZgXTFQjkHh2ndd80RLJhoI7Fr.jpg,"[28, 80, 27, 53]",369032,en,Carnage Park,"Part crime caper gone awry, part survival horror film, this 1970s set thriller depicts a harrowing fight for survival after a pair of wannabe crooks botch a bank heist and flee into the desert, where they inexplicably stumble upon Carnage Park, a remote stretch of wilderness occupied by a psychotic ex-military sniper.",10.9679,/v5PNynq0yMJOWyu0WbZYHiU3Ez7.jpg,2016-07-01,Carnage Park,False,5.258,132
False,/piXBj3FKEGNb6XCfAM7w5s4BI7O.jpg,"[18, 28, 10752]",616,en,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",10.9678,/a8jmJPs5eZBARmnuEEvZwbjwyz4.jpg,2003-12-05,The Last Samurai,False,7.596,7261
False,/70AV2Xx5FQYj20labp0EGdbjI6E.jpg,"[53, 80, 18]",637649,en,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",10.9627,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,2021-04-22,Wrath of Man,False,7.592,5822
False,,[],1493149,en,How To Drag A Body,"Anthony wakes up in an infinite stairwell with no memory, a disembodied voice, and a corpse. Promised The Answer to all of life's questions, he agrees-begrudgingly-to drag the body to the top, confront his past, fall in love, and not die trying. A surreal black comedy (loosely) based on a true story about finding joy in the absurd shit pile of your own life.",10.956,/TH10YnIiEGuKbN9g1vl6u3fb2g.jpg,,How To Drag A Body,False,0.0,0
False,/j1AHOKhtIc3LmjugSy2K7IjDkSd.jpg,"[27, 53, 18]",27720,en,Mister Frost,"Frost is arrested and committed for murder after he is apprehended burying his victims in the garden. However, even while under psychiatric care and tight hospital security, it becomes obvious that Mr. Frost is not all he seems to be.",10.9508,/frDns0COm09XF61ETCfRbGhhJiR.jpg,1990-04-10,Mister Frost,False,6.1,44
False,/zDIievPXqjfjLogXFqnnopU0OkK.jpg,"[10751, 35, 12, 16]",412117,en,The Secret Life of Pets 2,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",10.9454,/s9xg4V5EDKiphgIksVJ9gewBM11.jpg,2019-05-24,The Secret Life of Pets 2,False,6.948,3232
False,/AkbdGDAP1BzWPdarti8Kc4m8faz.jpg,[9648],231700,en,The Teckman Mystery,A fiction writer begins working on a biography of a pilot who went down during the test flight of a new plane and finds himself soon involved in a series of murders.,10.9437,/ucXpf57dGmY3YxRzkhuqo87TfP4.jpg,1954-10-27,The Teckman Mystery,False,5.9,17
False,/29qiSnPp8LN1vUomrMN3MMVwlUH.jpg,"[10770, 35, 18, 10749]",1028556,en,Haul Out the Holly,"Emily arrives home, hoping to visit her parents, only to discover that they are leaving on a trip of their own. As she stays at their house for the holidays, their HOA is determined to get Emily to participate in the neighborhood’s many Christmas festivities.",10.9414,/naX9S52wyTpUJPR80FIWhgxzufb.jpg,2022-11-26,Haul Out the Holly,False,6.045,78
False,/eENEf62tMXbhyVvdcXlnQz2wcuT.jpg,"[878, 28, 12]",580489,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",10.9409,/pzKsRuKLFmYrW5Q0q8E8G78Tcgo.jpg,2021-09-30,Venom: Let There Be Carnage,False,6.759,10874
False,/ydF3hT1fjrM71AbNAYBZKnq6rtL.jpg,"[10752, 18]",10015,en,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",10.9408,/aMr99UigkMCTSPnLTpkzJeLmpyc.jpg,1986-12-05,Heartbreak Ridge,False,6.883,1074
False,/srgq7bzZsuDw7NoGXdazRXp7Hl6.jpg,"[12, 28, 53]",646,en,Dr. No,"Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.",10.939,/9zCOLJmLNst0sCPZlkW1IRoH65E.jpg,1962-10-07,Dr. No,False,7.0,3875
False,/4P71rDf6roxVskbvdcbNayVMpXd.jpg,"[28, 12, 878]",14161,en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",10.9308,/c2PkTPT5D9zB8SIm5wNlDAANEqM.jpg,2009-10-10,2012,False,5.863,12404
False,/9KJ9sd9mxZYCqpsQUvryTaB1zNw.jpg,[10402],1559572,en,ONE SHOT with Ed Sheeran,"One singer. One city. One shot. Ed Sheeran rocks the streets of New York with his greatest hits in this groundbreaking, real-time music experience.",10.9225,/iSYHqrzvIuDm2HQ3ozM2vLugpRk.jpg,2025-11-20,ONE SHOT with Ed Sheeran,False,7.5,3
False,/cQSiXkHoXceECUQKduU0lngK098.jpg,[18],1449868,ja,L'Illusion de Yakushima,"Corry, a French coordinator of pediatric heart transplants is sent to Japan where organ donation remains taboo. As she fights to save a young boy, her partner Jin, a photographer from Yakushima, suddenly vanishes.",10.9224,/kSkAWOmYo8GsSrxGmmOgFqp43F4.jpg,2026-02-25,Yakushima's Illusion,False,0.0,0
