adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4zh2QNUFoVwfnOeppEKWPXGmg0y.jpg,"[16, 28, 80]",1395140,ja,LUPIN THE IIIRD THE MOVIE 不死身の血族,A special invitation has been sent to Lupin and his crew to an uncharted island. The invitee is believed to be the mastermind who controls the world's top mercenaries and is connected to crimes throughout the world! Who could this mysterious person be? The answer lies on the uncharted island hidden away from existence.,3.8258,/6X1LxZvMK8NCUBbvxBGMTt8ZeJQ.jpg,2025-06-27,LUPIN THE IIIRD THE MOVIE: The Immortal Bloodline,False,9.5,8
False,/3c59KMNs2MYqXUb2GZe8Yfwn4kb.jpg,"[14, 16, 18, 878]",14069,ja,時をかける少女,"When 17-year-old Makoto Konno gains the ability to 'leap' backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.",3.948,/xHnlWM8BmqY419YUccYy2KC5Jqo.jpg,2006-07-15,The Girl Who Leapt Through Time,False,7.781,2150
False,/rOl9x0SK2x9CSl6bV9R7Zny8O2A.jpg,"[18, 35]",1149614,he,Ken,"Israel, in the aftermath of October 7. Y., a jazz musician struggling to make ends meet, and his wife Jasmine, a dancer, sell their art, souls and bodies to the elite, and bring pleasure and consolation to a bleeding nation. Soon, Y. is given a mission of the highest importance: setting to music a new national anthem.",4.2509,/eUGYi75T6Tgf6VOmCz7f4qlcGgm.jpg,2025-09-17,Yes,False,7.5,10
False,/qlRGESB9xSfIPZi1p8dPDMjfjEs.jpg,"[18, 10749]",285020,en,"Christmas, Again","Noel travels from upstate New York every year to sell Christmas trees in New York City.  Returning without the help of his long-time girlfriend, this year Noel finds it impossible to do the one thing he knows so well: sell Christmas trees. As Noel begins to spiral downwards, alienating co-workers and customers in the process, it turns out this same community of people may be the only ones capable of saving Noel from self-destruction.",3.8226,/9rB7V5HHf78YXLQqYbg7IzXefym.jpg,2015-12-04,"Christmas, Again",False,6.2,34
False,,"[35, 10751, 10770]",1575377,en,The Christmas Showdown,"Former best friends April and Chastity compete for the same event design job at a Christmas show. They must overcome their past falling-out and work together to impress the producer, but rivalry intensifies.",4.0545,/zjR0S9FoGnQoiPvLlH4Tg7xy9IC.jpg,2025-12-06,The Christmas Showdown,False,0.0,0
False,/oDigjEwZS7bGVF7v31R2vXRp2YU.jpg,[99],1400776,en,Folktales,"On the precipice of adulthood, teenagers converge at a traditional folk high school in Arctic Norway. Dropped at the edge of the world, they must rely on only themselves, one another, and a loyal pack of sled dogs as they all grow in unexpected directions.",3.8491,/n5iRDpkSf5rnP25GoAEdZOLPnyk.jpg,2025-07-25,Folktales,False,8.0,1
False,/pzsVGcufDdBLmvagKyLFKaeA4O5.jpg,"[16, 878, 28, 18]",22843,ja,ヱヴァンゲリヲン新劇場版：破,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",3.763,/7VLYN2CfJpB6PrcuzDKKqdGSUi6.jpg,2009-06-26,Evangelion: 2.0 You Can (Not) Advance,False,7.8,946
False,/pzsVGcufDdBLmvagKyLFKaeA4O5.jpg,"[16, 878, 28, 18]",22843,ja,ヱヴァンゲリヲン新劇場版：破,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",3.763,/7VLYN2CfJpB6PrcuzDKKqdGSUi6.jpg,2009-06-26,Evangelion: 2.0 You Can (Not) Advance,False,7.8,946
False,/vQgFnDEXsSwebqMb0kt32V2DAeJ.jpg,[18],1027269,ky,Esimde,"An amnesiac old man Zarlyk who after twenty-three years of ordeal in a foreign land, returns to his homeland. Events take place in a village in Kyrgyzstan, where he is brought by his matured son Kubat. Much has changed during his absence: the morals of the villagers, mired in the realities of a changing world, radicalization of Islam, growing crime, and moral corrosive corruption began to consume... Zarlyk’s wife Umsunai, having lost hope of his return, went into religion, married the local authority Jaichy. The bright past invades the already accustomed Umsunai’s life. But nothing touches Zarlyk. An inexplicable passion for collecting garbage replaced him everything. Will the memory return to him and will Umsunai gain lost happiness when they are pressed by tight attitudes and immorality of the clergy, when love has eclipsed recklessness?",3.3086,/AnOwOUAYDawV0j7IKwaQQY9yn5q.jpg,2023-09-21,This Is What I Remember,False,0.0,0
False,/4AX0SJKG1aA2PMaixK6mOoOKEfx.jpg,"[16, 10751, 12]",1455686,de,Mission Santa - Ein Elf rettet Weihnachten,"An underdog elf, driven by his unwavering passion for the holidays, becomes the North Pole's only hope of saving Christmas from a vengeful hacker.",4.6813,/t0OORtaTEQGbkATnR0Qfa5t4wgP.jpg,2025-11-06,Mission Santa: Yoyo to the Rescue,False,5.0,1
